

doubt:
(1009, [(1, 2, 10), (4, 6, 9)], 2)

(12384, [(1, 6, 23), (2, 12, 22), (15, 16, 17)], 3)

(82278, [(3, 14, 43), (11, 19, 42), (16, 21, 41), (28, 29, 33)], 4)

(746992, [(4, 71, 73), (6, 51, 85), (8, 58, 82), (22, 38, 88), (25, 62, 79)], 5)

(5401404, [(9, 51, 174), (15, 117, 156), (21, 32, 175), (57, 60, 171), (71, 82, 165), (78, 91, 161)], 6)

(15685704, [(18, 38, 250), (57, 164, 223), (61, 83, 246), (82, 188, 204), (84, 180, 210), (122, 123, 229), (135, 160, 209)], 7)

(26936064, [(12, 100, 296), (36, 204, 264), (62, 219, 253), (67, 114, 293), (87, 225, 246), (108, 228, 240), (112, 212, 252), (138, 207, 249)], 8)

precise:

[36, (27, 8, 1)]
[1009, (729, 216, 64), (1000, 8, 1)]
[12384, (4913, 4096, 3375), (10648, 1728, 8), (12167, 216, 1)]
[82278, (35937, 24389, 21952), (68921, 9261, 4096), (74088, 6859, 1331), (79507, 2744, 27)]

all cubes:

(12384, [(1, 6, 23), (2, 12, 22), (15, 16, 17)], 3) ,
(17604, [(1, 3, 26), (7, 20, 21), (17, 18, 19)], 3) ,
(21888, [(2, 13, 27), (4, 20, 24), (6, 16, 26)], 3) ,
(28792, [(4, 12, 30), (10, 23, 25), (14, 16, 28)], 3) ,
(30528, [(2, 9, 31), (11, 13, 30), (14, 18, 28)], 3) ,
(31221, [(2, 21, 28), (5, 16, 30), (10, 18, 29)], 3) ,
(36288, [(2, 7, 33), (3, 21, 30), (8, 24, 28)], 3) ,
(40851, [(1, 17, 33), (3, 24, 30), (6, 11, 34)], 3) ,
(46593, [(1, 24, 32), (2, 22, 33), (7, 15, 35)], 3) ,
(48168, [(4, 23, 33), (8, 10, 36), (16, 27, 29)], 3) ,
(54244, [(4, 29, 31), (6, 15, 37), (9, 19, 36)], 3) ,
(55385, [(1, 8, 38), (7, 23, 35), (9, 20, 36)], 3) ,
(56384, [(8, 10, 38), (12, 20, 36), (17, 23, 34)], 3) ,
(57520, [(2, 19, 37), (6, 22, 36), (9, 30, 31)], 3) ,
(66205, [(2, 13, 40), (3, 19, 39), (12, 24, 37)], 3) ,
(69047, [(1, 5, 41), (12, 20, 39), (23, 26, 34)], 3) ,
(70433, [(8, 10, 41), (12, 32, 33), (17, 22, 38)], 3) ,
(72512, [(4, 26, 38), (6, 15, 41), (8, 20, 40)], 3) ,
(73207, [(4, 24, 39), (15, 18, 40), (22, 31, 32)], 3) ,
(73872, [(6, 30, 36), (9, 24, 39), (15, 25, 38)], 3) ,
(75160, [(6, 25, 39), (7, 9, 42), (8, 22, 40)], 3) ,
(76168, [(1, 23, 40), (16, 32, 34), (18, 27, 37)], 3) ,
(76896, [(1, 26, 39), (4, 14, 42), (9, 23, 40)], 3) ,
